"Name","gsm8k_cot/exact_match,strict-match","gsm8k_cot/exact_match_stderr,strict-match","gpqa_main_generative_n_shot/exact_match,flexible-extract","gpqa_main_generative_n_shot/exact_match_stderr,flexible-extract","task_configs.gpqa_main_cot_n_shot.generation_kwargs.top_p","Runtime","cli_configs.gen_kwargs.epsilon_cutoff","cli_configs.gen_kwargs.top_k","task_configs.gpqa_main_generative_n_shot.generation_kwargs.epsilon_cutoff","task_configs.gpqa_main_generative_n_shot.generation_kwargs.top_k","task_configs.gsm8k_cot.generation_kwargs.top_k","task_configs.gpqa_main_generative_n_shot.generation_kwargs.top_p","task_configs.gpqa_main_generative_n_shot.generation_kwargs.min_p","task_configs.gpqa_main_generative_n_shot.generation_kwargs.temperature","cli_configs.gen_kwargs.eta_cutoff","task_configs.gpqa_main_generative_n_shot.generation_kwargs.eta_cutoff","task_configs.gsm8k.generation_kwargs.min_p","task_configs.gsm8k_cot.generation_kwargs.min_p","task_configs.gsm8k_cot.generation_kwargs.top_p","task_configs.gsm8k_cot.generation_kwargs.temperature","task_configs.gsm8k_cot.generation_kwargs.epsilon_cutoff"
"gpqa_main_generative_n_shot_top_k_15_temp_1.5","","","0.234375","0.020035949758324928","","131","","15","","15","","","","1.5","","","","","","",""
"gpqa_main_generative_n_shot_top_k_15_temp_1","","","0.24553571428571427","0.020357428454484565","","125","","15","","15","","","","1","","","","","","",""
"gpqa_main_generative_n_shot_top_k_20_temp_0.7","","","0.27232142857142855","0.021055082129324165","","134","","20","","20","","","","0.7","","","","","","",""
"gpqa_main_generative_n_shot_top_k_20_temp_0.5","","","0.24107142857142855","0.020231102978728707","","128","","20","","20","","","","0.5","","","","","","",""
"gpqa_main_generative_n_shot_top_k_180_temp_5","","","0.024553571428571428","0.007319902316965635","","164","","180","","180","","","","5","","","","","","",""
"gpqa_main_generative_n_shot_top_k_180_temp_4","","","0.04017857142857143","0.009288352840700918","","160","","180","","180","","","","4","","","","","","",""
"gpqa_main_generative_n_shot_top_k_180_temp_3","","","0.05357142857142857","0.010650175725330197","","160","","180","","180","","","","3","","","","","","",""
"gpqa_main_generative_n_shot_top_k_180_temp_2","","","0.171875","0.01784434214814947","","157","","180","","180","","","","2","","","","","","",""
"gpqa_main_generative_n_shot_top_k_180_temp_1.5","","","0.22321428571428573","0.019695084407412244","","145","","180","","180","","","","1.5","","","","","","",""
"gpqa_main_generative_n_shot_top_k_180_temp_1","","","0.23660714285714285","0.020101765858195796","","117","","180","","180","","","","1","","","","","","",""
"gpqa_main_generative_n_shot_top_k_50_temp_0.7","","","0.27232142857142855","0.021055082129324165","","128","","50","","50","","","","0.7","","","","","","",""
"gpqa_main_generative_n_shot_top_k_50_temp_0.5","","","0.24107142857142855","0.020231102978728707","","120","","50","","50","","","","0.5","","","","","","",""
"gpqa_main_generative_n_shot_top_k_20_temp_0.5","","","0.24107142857142855","0.020231102978728707","","164","","20","","20","","","","0.5","","","","","","",""
"gpqa_temp_1.5","","","0.25223214285714285","0.020541391016487966","","146","","","","","","","0","1.5","","","","","","",""
"gpqa_temp_0.7","","","0.27232142857142855","0.021055082129324165","","138","","","","","","","0","0.7","","","","","","",""
"gpqa_temp_0.5","","","0.24107142857142855","0.020231102978728707","","150","","","","","","","0","0.5","","","","","","",""
"gpqa_main_generative_n_shot_eta_cutoff_0.0009_temp_1","","","0.22767857142857145","0.0198338196436619","","475","","","","","","","","1","0.0009","0.0009","","","","",""
"gpqa_main_generative_n_shot_eta_cutoff_0.0009_temp_5","","","","","","91","","","","","","","","","","","","","","",""
"gpqa_main_generative_n_shot_eta_cutoff_0.0009_temp_4","","","","","","91","","","","","","","","","","","","","","",""
"gpqa_main_generative_n_shot_eta_cutoff_0.0009_temp_3","","","","","","91","","","","","","","","","","","","","","",""
"gpqa_main_generative_n_shot_eta_cutoff_0.0009_temp_2","","","","","","91","","","","","","","","","","","","","","",""
"gpqa_main_generative_n_shot_eta_cutoff_0.0009_temp_1.5","","","0.22767857142857145","0.0198338196436619","","1619","","","","","","","","1.5","0.0009","0.0009","","","","",""
"gpqa_main_generative_n_shot_eta_cutoff_0.0009_temp_0.7","","","0.265625","0.02089005840079951","","309","","","","","","","","0.7","0.0009","0.0009","","","","",""
"gpqa_main_generative_n_shot_eta_cutoff_0.0009_temp_0.5","","","0.25669642857142855","0.0206604254917247","","330","","","","","","","","0.5","0.0009","0.0009","","","","",""
"gpqa_main_generative_n_shot_eta_cutoff_0.0002_temp_5","","","","","","91","","","","","","","","","","","","","","",""
"gpqa_main_generative_n_shot_eta_cutoff_0.0002_temp_4","","","","","","91","","","","","","","","","","","","","","",""
"gpqa_main_generative_n_shot_eta_cutoff_0.0002_temp_3","","","","","","91","","","","","","","","","","","","","","",""
"gpqa_main_generative_n_shot_eta_cutoff_0.0002_temp_2","","","","","","92","","","","","","","","","","","","","","",""
"gpqa_main_generative_n_shot_eta_cutoff_0.0002_temp_1.5","","","0.24553571428571427","0.02035742845448455","","1688","","","","","","","","1.5","0.0002","0.0002","","","","",""
"gpqa_main_generative_n_shot_eta_cutoff_0.0002_temp_1","","","0.2544642857142857","0.02060126475832285","","490","","","","","","","","1","0.0002","0.0002","","","","",""
"gpqa_main_generative_n_shot_eta_cutoff_0.0002_temp_0.7","","","0.28125","0.02126578568827395","","338","","","","","","","","0.7","0.0002","0.0002","","","","",""
"gpqa_main_generative_n_shot_eta_cutoff_0.0002_temp_0.5","","","0.25669642857142855","0.0206604254917247","","300","","","","","","","","0.5","0.0002","0.0002","","","","",""
"gpqa_main_generative_n_shot_epsilon_cutoff_0.0009_temp_5","","","","","","104","","","","","","","","","","","","","","",""
"gpqa_main_generative_n_shot_epsilon_cutoff_0.0009_temp_4","","","","","","92","","","","","","","","","","","","","","",""
"gpqa_main_generative_n_shot_epsilon_cutoff_0.0009_temp_3","","","","","","92","","","","","","","","","","","","","","",""
"gpqa_main_generative_n_shot_epsilon_cutoff_0.0009_temp_2","","","","","","91","","","","","","","","","","","","","","",""
"gpqa_main_generative_n_shot_epsilon_cutoff_0.0009_temp_1","","","0.22767857142857145","0.0198338196436619","","473","0.0009","","0.0009","","","","","1","","","","","","",""
"gpqa_main_generative_n_shot_epsilon_cutoff_0.0002_temp_5","","","","","","92","","","","","","","","","","","","","","",""
"gpqa_main_generative_n_shot_epsilon_cutoff_0.0002_temp_4","","","","","","91","","","","","","","","","","","","","","",""
"gpqa_main_generative_n_shot_epsilon_cutoff_0.0002_temp_3","","","","","","93","","","","","","","","","","","","","","",""
"gpqa_main_generative_n_shot_epsilon_cutoff_0.0002_temp_2","","","","","","97","","","","","","","","","","","","","","",""
"gpqa_main_generative_n_shot_epsilon_cutoff_0.0002_temp_1","","","0.2544642857142857","0.02060126475832285","","507","0.0002","","0.0002","","","","","1","","","","","","",""
"gpqa_main_generative_n_shot_top_k_180_temp_1","","","0.23660714285714285","0.020101765858195796","","110","","180","","180","","","","1","","","","","","",""
"gpqa_main_generative_n_shot_top_k_10_temp_1.5","","","0.24330357142857145","0.02029463862586678","","132","","10","","10","","","","1.5","","","","","","",""
"gpqa_main_generative_n_shot_top_k_10_temp_1.0","","","0.22991071428571427","0.019901984530139527","","154","","10","","10","","","","1","","","","","","",""
"gpqa_main_generative_n_shot_epsilon_cutoff_0.0009_temp_1.5","","","","","","435","","","","","","","","","","","","","","",""
"gpqa_main_generative_n_shot_epsilon_cutoff_0.0009_temp_0.7","","","0.27901785714285715","0.021214094157265967","","301","0.0009","","0.0009","","","","","0.7","","","","","","",""
"gpqa_main_generative_n_shot_epsilon_cutoff_0.0009_temp_0.5","","","0.28348214285714285","0.021316828987262147","","286","0.0009","","0.0009","","","","","0.5","","","","","","",""
"gpqa_main_generative_n_shot_epsilon_cutoff_0.0002_temp_5","","","","","","91","","","","","","","","","","","","","","",""
"gpqa_main_generative_n_shot_epsilon_cutoff_0.0002_temp_4","","","","","","91","","","","","","","","","","","","","","",""
"gpqa_main_generative_n_shot_epsilon_cutoff_0.0002_temp_3","","","","","","91","","","","","","","","","","","","","","",""
"gpqa_main_generative_n_shot_epsilon_cutoff_0.0002_temp_2","","","","","","93","","","","","","","","","","","","","","",""
"gpqa_main_generative_n_shot_epsilon_cutoff_0.0002_temp_1.5","","","0.24107142857142855","0.020231102978728675","","1774","0.0002","","0.0002","","","","","1.5","","","","","","",""
"gpqa_main_generative_n_shot_epsilon_cutoff_0.0002_temp_0.7","","","0.27901785714285715","0.021214094157265967","","305","0.0002","","0.0002","","","","","0.7","","","","","","",""
"gpqa_main_generative_n_shot_epsilon_cutoff_0.0002_temp_0.5","","","0.28348214285714285","0.021316828987262147","","286","0.0002","","0.0002","","","","","0.5","","","","","","",""
"gpqa_main_generative_n_shot_top_k_180_temp_5","","","0.026785714285714284","0.007636636028662708","","144","","180","","180","","","","5","","","","","","",""
"gpqa_main_generative_n_shot_top_k_180_temp_4","","","0.04241071428571429","0.009531772560339154","","143","","180","","180","","","","4","","","","","","",""
"gpqa_main_generative_n_shot_top_k_180_temp_3","","","0.05580357142857143","0.010856964367035832","","143","","180","","180","","","","3","","","","","","",""
"gpqa_main_generative_n_shot_top_k_180_temp_2","","","0.16517857142857142","0.01756385671119356","","134","","180","","180","","","","2","","","","","","",""
"gpqa_main_generative_n_shot_top_k_180_temp_1.5","","","0.22767857142857145","0.0198338196436619","","123","","180","","180","","","","1.5","","","","","","",""
"gpqa_main_generative_n_shot_top_k_180_temp_0.7","","","0.26339285714285715","0.0208336900165786","","102","","180","","180","","","","0.7","","","","","","",""
"gpqa_main_generative_n_shot_top_k_180_temp_0.5","","","0.2611607142857143","0.020776632223035964","","98","","180","","180","","","","0.5","","","","","","",""
"gpqa_main_generative_n_shot_top_k_180_temp_5","","","0.026785714285714284","0.007636636028662708","","145","","180","","180","","","","5","","","","","","",""
"gpqa_main_generative_n_shot_top_k_180_temp_4","","","0.04241071428571429","0.009531772560339154","","143","","180","","180","","","","4","","","","","","",""
"gpqa_main_generative_n_shot_top_k_180_temp_3","","","0.05580357142857143","0.010856964367035832","","144","","180","","180","","","","3","","","","","","",""
"gpqa_main_generative_n_shot_top_k_180_temp_2","","","0.16517857142857142","0.01756385671119356","","135","","180","","180","","","","2","","","","","","",""
"gpqa_main_generative_n_shot_top_k_180_temp_1.5","","","0.22767857142857145","0.0198338196436619","","125","","180","","180","","","","1.5","","","","","","",""
"gpqa_main_generative_n_shot_top_k_180_temp_0.7","","","0.26339285714285715","0.0208336900165786","","103","","180","","180","","","","0.7","","","","","","",""
"gpqa_main_generative_n_shot_top_k_180_temp_0.5","","","0.2611607142857143","0.020776632223035964","","132","","180","","180","","","","0.5","","","","","","",""
"gpqa_main_generative_n_shot_top_k_15_temp_5","","","0.08705357142857142","0.013334053151439628","","136","","15","","15","","","","5","","","","","","",""
"gpqa_main_generative_n_shot_top_k_15_temp_4","","","0.10044642857142858","0.014217623336210834","","136","","15","","15","","","","4","","","","","","",""
"gpqa_main_generative_n_shot_top_k_15_temp_3","","","0.14955357142857142","0.016868175607503352","","136","","15","","15","","","","3","","","","","","",""
"gpqa_main_generative_n_shot_top_k_15_temp_2","","","0.19419642857142855","0.01871033018704158","","124","","15","","15","","","","2","","","","","","",""
"gpqa_main_generative_n_shot_top_k_15_temp_1.5","","","0.25223214285714285","0.020541391016487973","","111","","15","","15","","","","1.5","","","","","","",""
"gpqa_main_generative_n_shot_top_k_15_temp_0.7","","","0.26339285714285715","0.0208336900165786","","102","","15","","15","","","","0.7","","","","","","",""
"gpqa_main_generative_n_shot_top_k_15_temp_0.5","","","0.2611607142857143","0.020776632223035964","","99","","15","","15","","","","0.5","","","","","","",""
"gpqa_main_generative_n_shot_top_k_10_temp_5","","","0.10044642857142858","0.014217623336210836","","137","","10","","10","","","","5","","","","","","",""
"gpqa_main_generative_n_shot_top_k_10_temp_4","","","0.125","0.015642467864593956","","133","","10","","10","","","","4","","","","","","",""
"gpqa_main_generative_n_shot_top_k_10_temp_3","","","0.17633928571428573","0.018025816809541385","","131","","10","","10","","","","3","","","","","","",""
"gpqa_main_generative_n_shot_top_k_10_temp_2","","","0.203125","0.01902930945380285","","120","","10","","10","","","","2","","","","","","",""
"gpqa_main_generative_n_shot_top_k_10_temp_1.5","","","0.20089285714285715","0.01895095029237264","","114","","10","","10","","","","1.5","","","","","","",""
"gpqa_main_generative_n_shot_top_k_10_temp_0.7","","","0.26785714285714285","0.0209457429416355","","301","","10","","10","","","","0.7","","","","","","",""
"gpqa_main_generative_n_shot_top_k_10_temp_1.5","","","","","","447","","","","","","","","","","","","","","",""
"gpqa_main_generative_n_shot_top_k_10_temp_0.7","","","0.26785714285714285","0.0209457429416355","","300","","10","","10","","","","0.7","","","","","","",""
"gpqa_main_generative_n_shot_top_k_10_temp_0.5","","","0.28348214285714285","0.021316828987262147","","283","","10","","10","","","","0.5","","","","","","",""
"gpqa_main_generative_n_shot_top_p_0.95_temp_1.5","","","0.21428571428571427","0.019407749261742224","","1377","","","","","","0.95","","1.5","","","","","","",""
"gpqa_main_generative_n_shot_top_p_0.95_temp_0.7","","","0.28794642857142855","0.02141698936957184","","285","","","","","","0.95","","0.7","","","","","","",""
"gpqa_main_generative_n_shot_top_p_0.95_temp_0.5","","","0.3013392857142857","0.02170237569854563","","283","","","","","","0.95","","0.5","","","","","","",""
"gpqa_main_generative_n_shot_top_p_0.9_temp_1.5","","","0.24776785714285715","0.020419479344751273","","1086","","","","","","0.9","","1.5","","","","","","",""
"gpqa_main_generative_n_shot_top_p_0.9_temp_0.7","","","0.29017857142857145","0.021466115440571216","","283","","","","","","0.9","","0.7","","","","","","",""
"gpqa_main_generative_n_shot_top_p_0.9_temp_0.5","","","0.31026785714285715","0.02188038020595465","","288","","","","","","0.9","","0.5","","","","","","",""
"gpqa_min_p_0.1_temp_1.5","","","0.28125","0.02126578568827395","","406","","","","","","","0.1","1.5","","","","","","",""
"gpqa_min_p_0.1_temp_0.7","","","","","","187","","","","","","","","","","","","","","",""
"gpqa_min_p_0.1_temp_0.7","","","0.29017857142857145","0.021466115440571216","","286","","","","","","","0.1","0.7","","","","","","",""
"gpqa_min_p_0.1_temp_0.5","","","0.3013392857142857","0.02170237569854563","","343","","","","","","","0.1","0.5","","","","","","",""
"gpqa_min_p_0.05_temp_1.5","","","0.28794642857142855","0.021416989369571815","","594","","","","","","","0.05","1.5","","","","","","",""
"gpqa_min_p_0.05_temp_0.7","","","0.28794642857142855","0.02141698936957184","","307","","","","","","","0.05","0.7","","","","","","",""
"gpqa_min_p_0.05_temp_0.5","","","0.29910714285714285","0.021656359273376977","","302","","","","","","","0.05","0.5","","","","","","",""
"GPQA,min_p=0.05,top_p=1,temperature=5,vibrant-bee-54","","","0.008928571428571428","0.0044492796694263065","","176","","","","","","1","0.05","5","","","","","","",""
"GPQA,min_p=0.05,top_p=1,temperature=4,winter-cloud-53","","","0.05357142857142857","0.010650175725330209","","176","","","","","","1","0.05","4","","","","","","",""
"GPQA,min_p=0.05,top_p=1,temperature=3,youthful-forest-52","","","0.13169642857142858","0.015994439698901245","","162","","","","","","1","0.05","3","","","","","","",""
"GPQA,min_p=0.05,top_p=1,temperature=2,solar-fog-51","","","0.26339285714285715","0.020833690016578595","","120","","","","","","1","0.05","2","","","","","","",""
"GPQA,min_p=0.05,top_p=1,temperature=1,vibrant-oath-50","","","0.28348214285714285","0.021316828987262157","","147","","","","","","1","0.05","1","","","","","","",""
"GPQA,min_p=0,top_p=0.7,temperature=3,gallant-haze-48","","","0.008928571428571428","0.0044492796694263065","","163","","","","","","0.7","0","3","","","","","","",""
"GPQA,min_p=0,top_p=0.7,temperature=2,peach-surf-47","","","0.10714285714285714","0.01462914143783998","","157","","","","","","0.7","0","2","","","","","","",""
"GPQA,min_p=0,top_p=0.7,temperature=1,sweet-water-46","","","0.28125","0.02126578568827395","","91","","","","","","0.7","0","1","","","","","","",""
"GPQA,min_p=0.3,top_p=1,temperature=5,colorful-night-45","","","0.21205357142857145","0.019333807037683448","","111","","","","","","1","0.3","5","","","","","","",""
"GPQA,min_p=0.3,top_p=1,temperature=4,morning-cosmos-44","","","0.25892857142857145","0.02071887932447213","","100","","","","","","1","0.3","4","","","","","","",""
"GPQA,min_p=0.3,top_p=1,temperature=3,fanciful-totem-43","","","0.29910714285714285","0.021656359273376977","","95","","","","","","1","0.3","3","","","","","","",""
"GPQA,min_p=0.3,top_p=1,temperature=2,crimson-field-42","","","0.31026785714285715","0.021880380205954647","","90","","","","","","1","0.3","2","","","","","","",""
"GPQA,min_p=0.3,top_p=1,temperature=1,avid-cosmos-41","","","0.30580357142857145","0.021792582688756976","","88","","","","","","1","0.3","1","","","","","","",""
"GPQA,min_p=0.3,top_p=1,temperature=0,wise-rain-40","","","0.28348214285714285","0.021316828987262133","","89","","","","","","1","0.3","0","","","","","","",""
"GPQA,min_p=0,top_p=0.8,temperature=3,decent-morning-39","","","0.006696428571428571","0.003857525958834122","","160","","","","","","0.8","0","3","","","","","","",""
"GPQA,min_p=0,top_p=0.8,temperature=2,volcanic-universe-38","","","0.10491071428571427","0.014494036134769584","","156","","","","","","0.8","0","2","","","","","","",""
"GPQA,min_p=0,top_p=0.8,temperature=1,fast-planet-36","","","0.2924107142857143","0.02151461125992853","","89","","","","","","0.8","0","1","","","","","","",""
"GPQA,min_p=0.2,top_p=1,temperature=5,magic-glitter-35","","","0.14732142857142858","0.01676377694831728","","144","","","","","","1","0.2","5","","","","","","",""
"GPQA,min_p=0.2,top_p=1,temperature=4,smart-puddle-34","","","0.21205357142857145","0.01933380703768344","","116","","","","","","1","0.2","4","","","","","","",""
"GPQA,min_p=0.2,top_p=1,temperature=3,genial-snow-33","","","0.2857142857142857","0.021367228699836035","","99","","","","","","1","0.2","3","","","","","","",""
"GPQA,min_p=0.2,top_p=1,temperature=2,stellar-cherry-32","","","0.2924107142857143","0.021514611259928533","","93","","","","","","1","0.2","2","","","","","","",""
"GPQA,min_p=0.2,top_p=1,temperature=0,expert-dew-31","","","0.28348214285714285","0.021316828987262133","","88","","","","","","1","0.2","0","","","","","","",""
"GPQA,min_p=0.2,top_p=1,temperature=1,elated-darkness-30","","","0.30357142857142855","0.02174778223291751","","89","","","","","","1","0.2","1","","","","","","",""
"GPQA,min_p=0.05,top_p=1,temperature=0,ethereal-silence-29","","","0.28348214285714285","0.021316828987262133","","93","","","","","","1","0.05","0","","","","","","",""
"GPQA,min_p=0,top_p=0.95,temperature=0,hopeful-donkey-28","","","0.28348214285714285","0.021316828987262133","","89","","","","","","0.95","0","0","","","","","","",""
"GPQA,min_p=0,top_p=0.9,temperature=0,sparkling-haze-27","","","0.28348214285714285","0.021316828987262133","","88","","","","","","0.9","0","0","","","","","","",""
"GPQA,min_p=0,top_p=1,temperature=0,absurd-morning-26","","","0.28348214285714285","0.021316828987262133","","88","","","","","","1","0","0","","","","","","",""
"GPQA,min_p=0,top_p=1,temperature=3,leafy-terrain-25","","","0.008928571428571428","0.004449279669426309","","159","","","","","","1","0","3","","","","","","",""
"GPQA,min_p=0,top_p=1,temperature=2,glad-butterfly-24","","","0.05803571428571429","0.011058879448664433","","154","","","","","","1","0","2","","","","","","",""
"GPQA,min_p=0,top_p=1,temperature=1,fluent-cherry-23","","","0.22767857142857145","0.0198338196436619","","99","","","","","","1","0","1","","","","","","",""
"GPQA,min_p=0,top_p=0.95,temperature=3,cosmic-glitter-22","","","0.006696428571428571","0.0038575259588341207","","157","","","","","","0.95","0","3","","","","","","",""
"GPQA,min_p=0,top_p=0.95,temperature=2,usual-tree-21","","","0.07366071428571429","0.012355184716888672","","156","","","","","","0.95","0","2","","","","","","",""
"GPQA,min_p=0,top_p=0.95,temperature=1,helpful-breeze-20","","","0.2611607142857143","0.02077663222303596","","95","","","","","","0.95","0","1","","","","","","",""
"GPQA,min_p=0.1,top_p=1,temperature=5,icy-eon-19","","","0.029017857142857144","0.007939342343352645","","157","","","","","","1","0.1","5","","","","","","",""
"GPQA,min_p=0.1,top_p=1,temperature=4,sparkling-mountain-18","","","0.09151785714285714","0.013638209498136909","","149","","","","","","1","0.1","4","","","","","","",""
"GPQA,min_p=0,top_p=0.9,temperature=3,young-pine-17","","","0.004464285714285714","0.0031531937104656623","","157","","","","","","0.9","0","3","","","","","","",""
"GPQA,min_p=0,top_p=0.9,temperature=2,dainty-breeze-16","","","0.06473214285714286","0.011637889648776724","","154","","","","","","0.9","0","2","","","","","","",""
"GPQA,min_p=0,top_p=0.9,temperature=1,gentle-sponge-15","","","0.25","0.02048079801297601","","92","","","","","","0.9","0","1","","","","","","",""
"GPQA,min_p=0.1,top_p=1,temperature=3,fearless-voice-14","","","0.24553571428571427","0.02035742845448457","","120","","","","","","1","0.1","3","","","","","","",""
"GPQA,min_p=0.1,top_p=1,temperature=2,zany-blaze-13","","","0.26339285714285715","0.0208336900165786","","95","","","","","","1","0.1","2","","","","","","",""
"GPQA,min_p=0.1,top_p=1,temperature=1,peach-bird-12","","","0.25892857142857145","0.020718879324472125","","91","","","","","","1","0.1","1","","","","","","",""
"GPQA,min_p=0.1,top_p=1,temperature=0,warm-sun-11","","","","","1","163","","","","","","","","","","","","","","",""
"GPQA,min_p=0,top_p=1,temperature=0,sparkling-tree-9","","","0.28348214285714285","0.021316828987262133","","89","","","","","","1","0","0","","","","","","",""
